species,fsu,load,xdeg,ydeg,zdeg,totalDeg,maxDeg
bighorn,C2-C3,axial,1.2784784789747046,-0.19791928368450193,0.09431826493366359,1.1748774602238663,1.2784784789747046
bighorn,C2-C3,extend,-0.6414552723353276,-0.008154780624033808,-2.222620879966845,2.8722309329262066,2.222620879966845
bighorn,C2-C3,flex,-0.023259248894023157,-0.0028510492004593453,0.9374738319646505,0.911363533870168,0.9374738319646505
bighorn,C2-C3,lateral,-0.13245803744214318,1.1632238397557844,-0.20390510921638635,0.8268606930972549,1.1632238397557844
bighorn,C4-C5,axial,2.189029113335945,-0.053706290734637806,-0.14923718442166614,1.9860856381796412,2.189029113335945
bighorn,C4-C5,extend,-0.10733575261786599,0.12836091635830696,-2.9942361382357254,2.9732109744952844,2.9942361382357254
bighorn,C4-C5,flex,-0.02973034793636458,-0.023180374457315914,1.1137409452852278,1.0608302228915474,1.1137409452852278
bighorn,C4-C5,lateral,-0.003940969691995878,1.2331597429697723,-0.37891605363930575,0.8503027196384707,1.2331597429697723
bighorn,C6-C7,axial,3.809942510107552,-0.30284921152524436,-0.5627195372483957,2.944373761333912,3.809942510107552
bighorn,C6-C7,extend,-0.05710859809496029,0.11788619515614314,-3.966192680220469,3.9054150831592858,3.966192680220469
bighorn,C6-C7,flex,-0.05012133230690282,-0.026592102263110894,1.2634094462863303,1.1866960117163166,1.2634094462863303
bighorn,C6-C7,lateral,-0.30313037740725834,2.426180414676456,-0.872969717978018,1.2500803192911796,2.426180414676456
impala,C2-C3,axial,7.893833622873359,-1.8552148883187376,-1.4799744533978147,4.558644281156806,7.893833622873359
impala,C2-C3,extend,0.23368695684697355,0.6555383332988745,-7.579601875161699,6.690376585015851,7.579601875161699
impala,C2-C3,flex,-0.13802452174217142,-0.08120983699081795,2.4850408382028806,2.2658064794698913,2.4850408382028806
impala,C2-C3,lateral,-1.6147056711712857,7.150064243584853,-1.849084771758135,3.6862738006554325,7.150064243584853
impala,C4-C5,axial,6.775497269493457,-1.4420970083860756,-0.8134854890454709,4.519914772061911,6.775497269493457
impala,C4-C5,extend,0.1514302313949771,-0.06122327385025931,-8.38349871235358,8.293291754808862,8.38349871235358
impala,C4-C5,flex,-0.3722072651121631,0.13764585153763226,2.2480898561100204,2.0135284425354896,2.2480898561100204
impala,C4-C5,lateral,-0.21072465575643834,4.506299706736167,-1.3491991228603613,2.946375928119367,4.506299706736167
impala,C6-C7,axial,7.961239987050953,-0.9691005662712675,-1.8298054352492685,5.162333985530417,7.961239987050953
impala,C6-C7,extend,0.19293296460105394,0.15251899103251715,-8.750813251235549,8.405361295601978,8.750813251235549
impala,C6-C7,flex,-0.1440630572057234,-0.009782559456352265,2.006041553775206,1.8521959371131302,2.006041553775206
impala,C6-C7,lateral,-0.9287254793831836,4.17260250552711,-2.171489148126177,1.0723878780177496,4.17260250552711
