species,fsu,load,maxStress,minStress,meanStress,q_95,q_99
bighorn,C2-C3,axial,5.4534842020125085,0,0.6805626911553194,1.478479915671329,2.2099574646767146
bighorn,C2-C3,compress,15.10491978531571,0,2.735116961461522,6.727118081072461,9.236729460104549
bighorn,C2-C3,extend,7.782160024599534,0,0.698539285604326,1.891085544619442,2.5996471838833566
bighorn,C2-C3,flex,7.4390888698166515,0,0.539318148233683,1.371895335923397,2.0086375138808417
bighorn,C2-C3,lateral,6.732717758546568,0,0.5005725883801901,1.4163425556387013,1.8447907927554639
bighorn,C4-C5,axial,7.439706765275809,0,0.7574192753251743,1.7550810787533169,2.4017297665122657
bighorn,C4-C5,compress,34.179650261727836,0,2.9773618424507373,7.812654729409119,10.794484434344957
bighorn,C4-C5,extend,9.212232832917055,0,0.7650892263663386,2.219896277241177,3.165565828476659
bighorn,C4-C5,flex,9.249242517659649,0,0.570318011146433,1.4815287231789043,2.1999538071093534
bighorn,C4-C5,lateral,4.982550462948267,0,0.503662985473366,1.2832025430455922,1.835127204903614
bighorn,C6-C7,axial,10.485350800898367,0,0.7948389860672297,2.0169135358621033,2.7475526479897314
bighorn,C6-C7,compress,36.86940421385089,0,2.9163423132682915,8.50032445523407,11.575547577055195
bighorn,C6-C7,extend,10.355663356278228,0,0.7261413836995869,2.3644701996724082,3.347092403586463
bighorn,C6-C7,flex,12.483572471643607,0,0.7027257123532745,1.83770391079259,3.0088629369080646
bighorn,C6-C7,lateral,13.70001576693414,0,0.5840437795533051,1.4833220245262044,2.136488005213001
impala,C2-C3,axial,27.140222475357493,0,2.2237660564354007,5.112907157974417,7.019453785736019
impala,C2-C3,compress,70.18513663513308,0,7.11822700810291,16.992856121167737,25.102585742764376
impala,C2-C3,extend,23.655671174144494,0,2.0553983309559123,5.55807981389362,10.285957593599857
impala,C2-C3,flex,20.027332819417072,0,1.487383763322446,3.684200972774835,5.293934658538506
impala,C2-C3,lateral,51.55489780129573,0,1.480796425364874,3.780860051166995,5.578359999552179
impala,C4-C5,axial,14.550940622179997,0,1.7375987941807016,3.986754411698655,5.701013530323024
impala,C4-C5,compress,77.52063324752642,0,6.08100810008213,16.27656278721723,22.6842556374173
impala,C4-C5,extend,19.43640618608286,0,1.6676953759747302,5.199410001858023,7.8647787060372085
impala,C4-C5,flex,19.492794369699794,0,1.177701029052205,2.9779666504775184,4.520108907324089
impala,C4-C5,lateral,26.858918354548106,0,1.1319103226907428,2.718675946733498,4.058199075584323
impala,C6-C7,axial,16.639611216218366,0,1.6473892153819576,4.296045870596704,6.3283518625726725
impala,C6-C7,compress,63.702601857616465,0,5.812284668322925,15.863509021371753,25.427975498443654
impala,C6-C7,extend,18.349982879577844,0,1.5142586578537685,4.977969193767015,7.702403072760969
impala,C6-C7,flex,14.844076752851219,0,1.1548511376239121,3.223571316474619,5.253341787772
impala,C6-C7,lateral,17.342684667677606,0,1.1334643102777573,2.953269187871849,4.344653124774702
