species,fsu,load,qx,qy,qz,qw
bighorn,C2-C3,axial,0.011158,-0.00171788,8.42299e-4,0.999936
bighorn,C2-C3,compress,0,0,0,1
bighorn,C2-C3,extend,-0.00559805,3.74174e-5,-0.0193949,0.999796
bighorn,C2-C3,flex,-2.02765e-4,-2.65398e-5,0.00818091,0.999967
bighorn,C2-C3,lateral,-0.00113779,0.0101529,-0.00176758,0.999946
bighorn,C4-C5,axial,0.0191011,-4.93467e-4,-0.00129315,0.999817
bighorn,C4-C5,compress,0,0,0,1
bighorn,C4-C5,extend,-9.07095e-4,0.00114425,-0.0261256,0.999658
bighorn,C4-C5,flex,-2.57468e-4,-2.04799e-4,0.00971902,0.999953
bighorn,C4-C5,lateral,1.19417e-6,0.0107612,-0.0033061,0.999937
bighorn,C6-C7,axial,0.0332284,-0.0028046,-0.00482005,0.999432
bighorn,C6-C7,compress,0,0,0,1
bighorn,C6-C7,extend,-4.62468e-4,0.00104538,-0.0346041,0.9994
bighorn,C6-C7,flex,-4.34806e-4,-2.36868e-4,0.011025,0.999939
bighorn,C6-C7,lateral,-0.00248336,0.0211903,-0.00756029,0.999744
impala,C2-C3,axial,0.0686089,-0.0170382,-0.0117683,0.997429
impala,C2-C3,compress,0,0,0,1
impala,C2-C3,extend,0.00241292,0.00557331,-0.0661067,0.997794
impala,C2-C3,flex,-0.00118884,-7.34641e-4,0.0216835,0.999764
impala,C2-C3,lateral,-0.0130552,0.0625682,-0.0152241,0.997839
impala,C4-C5,axial,0.0589976,-0.0129815,-0.00634235,0.998154
impala,C4-C5,compress,0,0,0,1
impala,C4-C5,extend,0.00127889,-6.29437e-4,-0.0730938,0.997324
impala,C4-C5,flex,-0.00327105,0.00113723,0.0196208,0.999801
impala,C4-C5,lateral,-0.00137449,0.0393336,-0.0116923,0.999157
impala,C6-C7,axial,0.069273,-0.00954382,-0.0153413,0.997434
impala,C6-C7,compress,0,0,0,1
impala,C6-C7,extend,0.00178029,0.00119865,-0.0762931,0.997083
impala,C6-C7,flex,-0.0012555,-1.07363e-4,0.017505,0.999846
impala,C6-C7,lateral,-0.00740794,0.0365505,-0.0186405,0.99913
